bin low edge,bin high edge,Bkg / GeV,Bkg unc. / GeV,Data / GeV,Data unc. / GeV,"Sig (mX=700,mY=400) / GeV","Sig (mX=900,mY=600) / GeV","Sig (mX=1600,mY=200) / GeV",Data / bkg,Data unc. / data,Bkg unc. / bkg
36.0000,51.0000,170.0459,9.5131,165.6667,3.3233,0.5251,0.4843,0.4429,0.9742,0.0201,0.0559
51.0000,62.0000,426.0211,18.8973,400.3636,6.0330,1.4641,1.3781,2.1296,0.9398,0.0151,0.0444
62.0000,70.0000,457.5253,50.6252,441.5000,7.4288,2.4329,1.6474,1.9524,0.9650,0.0168,0.1107
70.0000,78.0000,457.2852,49.7821,428.8750,7.3218,3.5000,3.0957,4.2918,0.9379,0.0171,0.1089
78.0000,86.0000,446.2263,48.4233,411.8750,7.1753,3.9292,3.6384,4.1042,0.9230,0.0174,0.1085
86.0000,94.0000,410.5125,52.0406,402.8750,7.0964,4.6048,3.7419,5.7594,0.9814,0.0176,0.1268
94.0000,102.0000,391.7874,54.9259,392.5000,7.0045,5.2866,5.5776,10.0328,1.0018,0.0178,0.1402
102.0000,110.0000,363.5215,50.0433,351.7500,6.6309,5.3278,5.3802,14.6196,0.9676,0.0189,0.1377
110.0000,122.0000,203.1769,27.1369,188.7500,3.9660,5.4729,4.9264,12.3380,0.9290,0.0210,0.1336
122.0000,140.0000,158.0634,20.2279,151.3889,2.9001,4.7534,3.2306,16.0404,0.9578,0.0192,0.1280
140.0000,156.0000,421.7650,52.8273,397.3750,4.9836,10.4350,7.7209,48.9394,0.9422,0.0125,0.1253
156.0000,172.0000,462.3819,52.6297,445.4375,5.2763,13.2832,8.1658,84.2257,0.9634,0.0118,0.1138
172.0000,188.0000,485.8236,53.6819,462.7500,5.3779,16.5977,10.2339,151.7667,0.9525,0.0116,0.1105
188.0000,204.0000,503.8539,23.4226,487.1875,5.5181,23.2428,13.2880,223.9793,0.9669,0.0113,0.0465
204.0000,228.0000,522.3597,22.8966,490.3750,4.5202,27.9330,15.6584,108.6381,0.9388,0.0092,0.0438
228.0000,260.0000,472.6239,21.2550,446.4688,3.7353,40.6843,17.2256,10.9408,0.9447,0.0084,0.0450
260.0000,292.0000,394.3128,18.7340,366.1875,3.3828,58.7292,23.7894,2.8495,0.9287,0.0092,0.0475
292.0000,324.0000,317.9417,13.8768,302.9375,3.0768,76.5708,27.4994,2.2199,0.9528,0.0102,0.0436
324.0000,356.0000,251.1466,10.4827,233.3750,2.7005,101.6558,33.6998,2.0504,0.9292,0.0116,0.0417
356.0000,388.0000,198.8839,8.3846,185.6562,2.4087,115.9593,38.4057,1.5923,0.9335,0.0130,0.0422
388.0000,444.0000,144.9431,5.8912,135.2679,1.5542,57.6566,44.9782,1.6339,0.9332,0.0115,0.0406
444.0000,508.0000,92.9184,3.9465,87.7031,1.1706,7.8206,58.1447,1.3987,0.9439,0.0133,0.0425
508.0000,572.0000,59.8195,2.8445,57.6406,0.9490,2.3479,78.1258,1.3424,0.9636,0.0165,0.0476
572.0000,636.0000,39.4351,1.7018,38.7812,0.7784,1.1294,49.8201,1.4398,0.9834,0.0201,0.0432
636.0000,700.0000,26.3280,1.1547,25.6875,0.6335,0.8248,7.1104,0.7563,0.9757,0.0247,0.0439
700.0000,764.0000,18.6725,0.8047,17.0469,0.5161,0.6045,1.7821,0.8498,0.9129,0.0303,0.0431
764.0000,892.0000,10.7931,0.4610,11.0312,0.2936,0.3467,0.8233,0.7008,1.0221,0.0266,0.0427
892.0000,1020.0000,5.9743,0.2806,5.8047,0.2130,0.2231,0.3878,0.7309,0.9716,0.0367,0.0470
1020.0000,1148.0000,3.0789,0.1864,2.9844,0.1527,0.1716,0.2430,0.7142,0.9693,0.0512,0.0605
1148.0000,1276.0000,1.9035,0.1132,1.7031,0.1154,0.0784,0.1175,0.8487,0.8947,0.0677,0.0595
1276.0000,1404.0000,1.1343,0.0721,0.9844,0.0877,0.0768,0.1176,1.2328,0.8678,0.0891,0.0635
1404.0000,1564.0000,0.5400,0.0429,0.5250,0.0573,0.0269,0.0710,0.7982,0.9722,0.1091,0.0795
1564.0000,1820.0000,0.1250,0.0136,0.1484,0.0241,0.0063,0.0152,0.0240,1.1875,0.1622,0.1088
