bin low edge,bin high edge,Bkg / GeV,Bkg unc. / GeV,Data / GeV,Data unc. / GeV,Data / bkg,Data unc. / data,Bkg unc. / bkg
36.0000,51.0000,27.2483,1.7561,25.6000,1.3064,0.9395,0.0510,0.0644
51.0000,62.0000,101.2118,5.8590,98.0909,2.9862,0.9692,0.0304,0.0579
62.0000,70.0000,148.4530,16.5337,142.6250,4.2223,0.9607,0.0296,0.1114
70.0000,78.0000,161.0681,17.8900,163.0000,4.5139,1.0120,0.0277,0.1111
78.0000,86.0000,164.8442,18.3503,170.0000,4.6098,1.0313,0.0271,0.1113
86.0000,94.0000,163.4986,18.0998,161.1250,4.4878,0.9855,0.0279,0.1107
94.0000,102.0000,115.5294,13.0658,102.1250,3.5729,0.8840,0.0350,0.1131
102.0000,110.0000,9.2822,1.2646,7.8750,0.9922,0.8484,0.1260,0.1362
110.0000,122.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
122.0000,140.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
140.0000,156.0000,51.5853,5.8271,46.1875,1.6990,0.8954,0.0368,0.1130
156.0000,172.0000,124.7105,13.7190,110.3125,2.6257,0.8845,0.0238,0.1100
172.0000,188.0000,119.7612,13.1596,111.6875,2.6421,0.9326,0.0237,0.1099
188.0000,204.0000,118.8132,5.3497,111.5000,2.6398,0.9384,0.0237,0.0450
204.0000,228.0000,117.2176,5.0551,115.6667,2.1953,0.9868,0.0190,0.0431
228.0000,260.0000,119.0998,5.1593,112.3125,1.8734,0.9430,0.0167,0.0433
260.0000,292.0000,110.1984,4.8308,104.2500,1.8049,0.9460,0.0173,0.0438
292.0000,324.0000,91.0803,4.0035,88.7188,1.6651,0.9741,0.0188,0.0440
324.0000,356.0000,75.1322,3.2843,74.3125,1.5239,0.9891,0.0205,0.0437
356.0000,388.0000,62.2978,2.8006,62.8750,1.4017,1.0093,0.0223,0.0450
388.0000,444.0000,47.3494,2.0011,47.1429,0.9175,0.9956,0.0195,0.0423
444.0000,508.0000,32.4884,1.3881,32.0781,0.7080,0.9874,0.0221,0.0427
508.0000,572.0000,21.9153,0.9662,22.3750,0.5913,1.0210,0.0264,0.0441
572.0000,636.0000,15.5361,0.6912,14.7812,0.4806,0.9514,0.0325,0.0445
636.0000,700.0000,11.0372,0.4996,10.8750,0.4122,0.9853,0.0379,0.0453
700.0000,764.0000,7.5158,0.3893,7.4375,0.3409,0.9896,0.0458,0.0518
764.0000,892.0000,4.8154,0.2212,4.7734,0.1931,0.9913,0.0405,0.0459
892.0000,1020.0000,2.6277,0.1416,2.7578,0.1468,1.0495,0.0532,0.0539
1020.0000,1148.0000,1.5580,0.0845,1.5078,0.1085,0.9678,0.0720,0.0542
1148.0000,1276.0000,0.9076,0.0597,0.9062,0.0841,0.9985,0.0928,0.0658
1276.0000,1404.0000,0.4204,0.0324,0.5391,0.0649,1.2823,0.1204,0.0770
1404.0000,1564.0000,0.1845,0.0177,0.2188,0.0370,1.1858,0.1690,0.0959
1564.0000,1820.0000,0.0462,0.0068,0.0391,0.0124,0.8462,0.3162,0.1469
