bin low edge,bin high edge,Bkg / GeV,Bkg unc. / GeV,Data / GeV,Data unc. / GeV,Data / bkg,Data unc. / data,Bkg unc. / bkg
340.0000,360.0000,18.7985,1.1373,18.1500,0.9526,0.9655,0.0525,0.0605
360.0000,392.0000,27.3246,1.5814,27.3750,0.9249,1.0018,0.0338,0.0579
392.0000,424.0000,38.6868,1.9800,39.5625,1.1119,1.0226,0.0281,0.0512
424.0000,456.0000,48.0706,2.4697,45.7812,1.1961,0.9524,0.0261,0.0514
456.0000,488.0000,51.3805,2.4792,50.0000,1.2500,0.9731,0.0250,0.0483
488.0000,520.0000,53.3896,2.5368,54.3750,1.3035,1.0185,0.0240,0.0475
520.0000,552.0000,54.7008,2.6111,54.3750,1.3035,0.9940,0.0240,0.0477
552.0000,584.0000,52.1999,2.3225,49.9062,1.2488,0.9561,0.0250,0.0445
584.0000,616.0000,50.0013,2.2541,48.8125,1.2351,0.9762,0.0253,0.0451
616.0000,648.0000,45.6587,2.1091,45.3438,1.1904,0.9931,0.0263,0.0462
648.0000,704.0000,40.5731,1.8045,40.5536,0.8510,0.9995,0.0210,0.0445
704.0000,768.0000,33.4325,1.5078,33.5000,0.7235,1.0020,0.0216,0.0451
768.0000,832.0000,27.1983,1.2752,25.7500,0.6343,0.9468,0.0246,0.0469
832.0000,896.0000,20.9369,0.9668,20.7656,0.5696,0.9918,0.0274,0.0462
896.0000,960.0000,17.0844,0.7761,16.8906,0.5137,0.9887,0.0304,0.0454
960.0000,1024.0000,12.8648,0.6290,12.7656,0.4466,0.9923,0.0350,0.0489
1024.0000,1088.0000,9.5765,0.4570,10.0938,0.3971,1.0540,0.0393,0.0477
1088.0000,1152.0000,7.4763,0.3817,7.5156,0.3427,1.0053,0.0456,0.0511
1152.0000,1216.0000,6.0718,0.3307,5.7969,0.3010,0.9547,0.0519,0.0545
1216.0000,1296.0000,4.6468,0.2833,4.9375,0.2484,1.0626,0.0503,0.0610
1296.0000,1424.0000,3.1359,0.1730,3.1875,0.1578,1.0164,0.0495,0.0552
1424.0000,1552.0000,2.0666,0.1268,1.9297,0.1228,0.9337,0.0636,0.0614
1552.0000,1680.0000,1.3784,0.0860,1.3047,0.1010,0.9465,0.0774,0.0624
1680.0000,1808.0000,0.8634,0.0694,0.7500,0.0765,0.8686,0.1021,0.0803
1808.0000,1936.0000,0.4539,0.0448,0.5312,0.0644,1.1704,0.1213,0.0987
