bin low edge,bin high edge,Bkg / GeV,Bkg unc. / GeV,Data / GeV,Data unc. / GeV,"Sig (mX=700,mY=400) / GeV","Sig (mX=900,mY=600) / GeV","Sig (mX=1600,mY=200) / GeV",Data / bkg,Data unc. / data,Bkg unc. / bkg
340.0000,360.0000,127.3745,8.5506,109.0000,2.3345,1.6645,1.1080,0.0304,0.8557,0.0214,0.0671
360.0000,392.0000,176.9406,12.4443,153.5000,2.1902,2.8589,1.7840,0.1645,0.8675,0.0143,0.0703
392.0000,424.0000,226.2856,11.3101,207.1250,2.5441,5.9758,2.9045,0.1894,0.9153,0.0123,0.0500
424.0000,456.0000,268.6052,14.0261,248.6875,2.7877,10.1141,4.1885,0.3344,0.9258,0.0112,0.0522
456.0000,488.0000,292.0028,13.6368,266.9375,2.8882,15.7400,6.8641,0.2905,0.9142,0.0108,0.0467
488.0000,520.0000,283.1704,12.3978,274.0312,2.9263,25.4643,9.4776,0.2852,0.9677,0.0107,0.0438
520.0000,552.0000,278.0744,13.6679,264.6250,2.8757,39.2141,10.3486,0.3881,0.9516,0.0109,0.0492
552.0000,584.0000,260.0605,11.5638,247.6562,2.7820,58.6733,17.4311,0.3615,0.9523,0.0112,0.0445
584.0000,616.0000,238.8501,9.9416,226.6250,2.6612,86.0673,19.8454,0.3854,0.9488,0.0117,0.0416
616.0000,648.0000,217.0636,9.1654,209.7188,2.5600,118.4097,27.6568,0.5224,0.9662,0.0122,0.0422
648.0000,704.0000,187.8723,8.0196,180.9107,1.7974,146.4855,38.9662,0.6807,0.9629,0.0099,0.0427
704.0000,768.0000,154.3228,6.5306,145.4844,1.5077,53.7236,62.6532,0.7530,0.9427,0.0104,0.0423
768.0000,832.0000,122.1937,5.0929,115.1406,1.3413,6.3179,100.3427,1.1853,0.9423,0.0116,0.0417
832.0000,896.0000,94.6557,4.0171,88.7812,1.1778,2.5611,116.4325,1.8202,0.9379,0.0133,0.0424
896.0000,960.0000,73.5380,3.0521,69.4219,1.0415,1.6100,53.1865,2.3898,0.9440,0.0150,0.0415
960.0000,1024.0000,57.5887,2.3866,53.2969,0.9126,1.0775,7.8862,3.4773,0.9255,0.0171,0.0414
1024.0000,1088.0000,44.3110,1.9728,44.2031,0.8311,0.7431,2.6209,6.4359,0.9976,0.0188,0.0445
1088.0000,1152.0000,34.0933,1.6707,34.4219,0.7334,0.6038,1.3062,15.3098,1.0096,0.0213,0.0490
1152.0000,1216.0000,26.6995,1.2319,26.1094,0.6387,0.5765,0.8945,45.5792,0.9779,0.0245,0.0461
1216.0000,1296.0000,20.9391,0.9080,20.0875,0.5011,0.3883,0.7041,58.4800,0.9593,0.0249,0.0434
1296.0000,1424.0000,14.2618,0.6033,13.3828,0.3233,0.2769,0.5650,8.9890,0.9384,0.0242,0.0423
1424.0000,1552.0000,9.1807,0.4051,8.5859,0.2590,0.1647,0.2553,0.9398,0.9352,0.0302,0.0441
1552.0000,1680.0000,5.8919,0.2916,5.8125,0.2131,0.1445,0.1826,,0.9865,0.0367,0.0495
1680.0000,1808.0000,3.6991,0.2111,3.8516,0.1735,0.0776,0.1532,,1.0412,0.0450,0.0571
1808.0000,1936.0000,2.3774,0.1611,2.3828,0.1364,0.0939,0.0646,,1.0023,0.0573,0.0678
