binX low edge,binX high edge,binY low edge,binY high edge,Data / GeV^2,"Sig (mX=700,mY=400) / GeV^2",Bkg / GeV^2
340.0,360.0,36.0,51.0,0.1400,0.00000000,0.1710
340.0,360.0,51.0,62.0,0.2409,0.00000347,0.3428
340.0,360.0,62.0,70.0,0.3313,0.00000000,0.4428
340.0,360.0,70.0,78.0,0.5312,0.00000813,0.4166
340.0,360.0,78.0,86.0,0.4000,0.00003830,0.4235
340.0,360.0,86.0,94.0,0.3063,0.00001103,0.4446
340.0,360.0,94.0,102.0,0.4688,0.00001341,0.4696
340.0,360.0,102.0,110.0,0.4250,0.00001874,0.4562
340.0,360.0,110.0,122.0,0.2667,0.00002439,0.3401
340.0,360.0,122.0,140.0,0.2389,0.00001815,0.3067
340.0,360.0,140.0,156.0,0.7563,0.00002948,0.7959
340.0,360.0,156.0,172.0,0.9094,0.00004586,0.9470
340.0,360.0,172.0,188.0,1.0125,0.00001365,1.0618
340.0,360.0,188.0,204.0,1.0063,0.00002393,1.2652
340.0,360.0,204.0,228.0,0.7146,0.00000615,0.9956
340.0,360.0,228.0,260.0,0.0266,0.00000000,0.0367
360.0,392.0,36.0,51.0,0.2167,0.00000153,0.2259
360.0,392.0,51.0,62.0,0.4602,0.00000384,0.4908
360.0,392.0,62.0,70.0,0.5039,0.00000823,0.6175
360.0,392.0,70.0,78.0,0.4961,0.00000847,0.5639
360.0,392.0,78.0,86.0,0.5000,0.00001000,0.5584
360.0,392.0,86.0,94.0,0.5430,0.00001156,0.5792
360.0,392.0,94.0,102.0,0.5391,0.00001765,0.5477
360.0,392.0,102.0,110.0,0.5273,0.00002441,0.5771
360.0,392.0,110.0,122.0,0.3281,0.00000177,0.4066
360.0,392.0,122.0,140.0,0.2847,0.00001611,0.3261
360.0,392.0,140.0,156.0,0.6934,0.00005296,0.8922
360.0,392.0,156.0,172.0,0.9004,0.00004679,1.0220
360.0,392.0,172.0,188.0,1.0195,0.00008316,1.1479
360.0,392.0,188.0,204.0,1.0684,0.00003914,1.1686
360.0,392.0,204.0,228.0,1.1992,0.00003838,1.3491
360.0,392.0,228.0,260.0,0.7139,0.00000702,0.9111
360.0,392.0,260.0,292.0,0.0195,0.00000000,0.0166
392.0,424.0,36.0,51.0,0.2792,0.00000000,0.2596
392.0,424.0,51.0,62.0,0.6790,0.00001774,0.7949
392.0,424.0,62.0,70.0,0.6680,0.00001415,0.7723
392.0,424.0,70.0,78.0,0.7227,0.00001081,0.7608
392.0,424.0,78.0,86.0,0.6367,0.00000997,0.7329
392.0,424.0,86.0,94.0,0.7031,0.00002201,0.7222
392.0,424.0,94.0,102.0,0.6211,0.00001985,0.7872
392.0,424.0,102.0,110.0,0.5742,0.00004401,0.6689
392.0,424.0,110.0,122.0,0.3177,0.00002982,0.4290
392.0,424.0,122.0,140.0,0.2882,0.00003022,0.3098
392.0,424.0,140.0,156.0,0.7188,0.00005322,0.8535
392.0,424.0,156.0,172.0,0.8926,0.00010819,0.9318
392.0,424.0,172.0,188.0,1.0195,0.00009138,1.0234
392.0,424.0,188.0,204.0,1.1641,0.00013739,1.0967
392.0,424.0,204.0,228.0,1.1901,0.00009584,1.2843
392.0,424.0,228.0,260.0,1.2480,0.00002982,1.3207
392.0,424.0,260.0,292.0,0.7939,0.00001223,0.9670
392.0,424.0,292.0,324.0,0.0107,0.00000000,0.0222
424.0,456.0,36.0,51.0,0.2458,0.00000462,0.2699
424.0,456.0,51.0,62.0,0.8580,0.00000644,0.8851
424.0,456.0,62.0,70.0,0.9844,0.00000819,1.0055
424.0,456.0,70.0,78.0,0.8789,0.00001528,1.0576
424.0,456.0,78.0,86.0,0.9492,0.00001161,0.9236
424.0,456.0,86.0,94.0,0.8008,0.00000980,0.8998
424.0,456.0,94.0,102.0,0.8281,0.00004907,0.8968
424.0,456.0,102.0,110.0,0.7266,0.00004994,0.8572
424.0,456.0,110.0,122.0,0.4010,0.00004107,0.4384
424.0,456.0,122.0,140.0,0.2812,0.00003825,0.3502
424.0,456.0,140.0,156.0,0.7656,0.00007330,0.8805
424.0,456.0,156.0,172.0,0.8574,0.00011292,0.9264
424.0,456.0,172.0,188.0,0.8496,0.00016519,0.9627
424.0,456.0,188.0,204.0,1.1191,0.00021887,1.1124
424.0,456.0,204.0,228.0,1.1693,0.00017838,1.1852
424.0,456.0,228.0,260.0,1.2490,0.00008126,1.2114
424.0,456.0,260.0,292.0,1.1270,0.00003741,1.2744
424.0,456.0,292.0,324.0,0.6914,0.00001726,0.8585
424.0,456.0,324.0,356.0,0.0176,0.00000000,0.0163
456.0,488.0,36.0,51.0,0.1958,0.00000000,0.3015
456.0,488.0,51.0,62.0,0.7869,0.00001027,0.9652
456.0,488.0,62.0,70.0,1.1992,0.00002193,1.2058
456.0,488.0,70.0,78.0,1.0508,0.00002503,1.0738
456.0,488.0,78.0,86.0,1.1406,0.00001494,1.0644
456.0,488.0,86.0,94.0,0.9570,0.00001255,0.9999
456.0,488.0,94.0,102.0,0.9414,0.00005112,0.8977
456.0,488.0,102.0,110.0,0.8086,0.00003372,0.8129
456.0,488.0,110.0,122.0,0.4089,0.00005054,0.4784
456.0,488.0,122.0,140.0,0.2899,0.00003652,0.3440
456.0,488.0,140.0,156.0,0.6953,0.00009087,0.8665
456.0,488.0,156.0,172.0,0.7363,0.00009986,0.8477
456.0,488.0,172.0,188.0,0.7930,0.00014214,0.9082
456.0,488.0,188.0,204.0,0.9922,0.00022487,0.9680
456.0,488.0,204.0,228.0,1.0156,0.00029848,1.0923
456.0,488.0,228.0,260.0,1.1387,0.00022185,1.1871
456.0,488.0,260.0,292.0,1.1045,0.00010551,1.1616
456.0,488.0,292.0,324.0,0.9619,0.00005748,1.0903
456.0,488.0,324.0,356.0,0.5547,0.00001335,0.6976
456.0,488.0,356.0,388.0,0.0078,0.00000000,0.0135
488.0,520.0,36.0,51.0,0.1833,0.00000000,0.1716
488.0,520.0,51.0,62.0,0.6989,0.00000692,0.8198
488.0,520.0,62.0,70.0,1.0547,0.00001145,1.0618
488.0,520.0,70.0,78.0,1.1562,0.00002344,1.1499
488.0,520.0,78.0,86.0,1.0898,0.00002390,1.0590
488.0,520.0,86.0,94.0,0.9570,0.00002479,0.9623
488.0,520.0,94.0,102.0,0.9688,0.00003018,0.9672
488.0,520.0,102.0,110.0,0.7891,0.00006408,0.9581
488.0,520.0,110.0,122.0,0.4349,0.00005271,0.5128
488.0,520.0,122.0,140.0,0.2708,0.00002849,0.3531
488.0,520.0,140.0,156.0,0.7266,0.00007209,0.7990
488.0,520.0,156.0,172.0,0.7207,0.00010771,0.8483
488.0,520.0,172.0,188.0,0.8555,0.00010072,0.8096
488.0,520.0,188.0,204.0,0.7891,0.00024635,0.8066
488.0,520.0,204.0,228.0,0.8802,0.00037059,0.8743
488.0,520.0,228.0,260.0,1.0117,0.00053191,0.9914
488.0,520.0,260.0,292.0,0.9824,0.00027469,1.0071
488.0,520.0,292.0,324.0,0.9258,0.00010571,0.9444
488.0,520.0,324.0,356.0,0.8066,0.00004706,0.8040
488.0,520.0,356.0,388.0,0.4746,0.00000814,0.5044
488.0,520.0,388.0,444.0,0.0039,0.00000000,0.0089
520.0,552.0,36.0,51.0,0.1646,0.00000232,0.1823
520.0,552.0,51.0,62.0,0.6023,0.00000676,0.6298
520.0,552.0,62.0,70.0,1.0117,0.00000383,0.9644
520.0,552.0,70.0,78.0,1.0742,0.00001706,1.1257
520.0,552.0,78.0,86.0,1.0508,0.00000464,1.0067
520.0,552.0,86.0,94.0,0.9648,0.00000679,1.0646
520.0,552.0,94.0,102.0,0.9297,0.00002964,0.9488
520.0,552.0,102.0,110.0,0.7461,0.00001512,0.8591
