mX,mY,observed limit,expected limit,68% above,68% below,95% above,95% below
400,60,92.41,177.54,78.55,51.79,181.64,83.91
400,70,100.14,196.88,86.32,57.43,200.93,93.05
400,80,117.29,205.66,90.18,60.00,208.61,97.21
400,90,119.66,213.87,92.92,62.39,215.04,101.09
400,100,101.94,216.21,94.80,63.07,217.95,102.19
400,125,87.71,188.09,81.72,54.87,189.12,88.90
400,150,180.15,319.92,139.00,93.33,321.68,151.21
400,200,211.87,307.03,134.62,89.57,313.35,145.12
400,250,102.19,446.48,197.55,131.32,462.38,212.78
500,60,71.37,72.66,31.28,21.02,71.95,34.06
500,70,60.89,79.39,34.18,22.97,77.63,37.22
500,80,55.39,77.64,33.11,22.46,75.71,36.39
500,90,54.59,77.93,33.24,22.55,75.99,36.53
500,100,45.92,73.83,31.49,21.36,71.99,34.61
500,125,34.17,62.70,26.74,18.14,61.14,29.39
500,150,53.62,98.14,41.86,28.39,95.70,46.01
500,200,140.00,92.87,39.98,27.09,91.97,43.90
500,250,243.16,99.61,42.88,29.06,98.65,47.08
500,300,220.69,137.70,59.28,40.17,137.23,65.08
600,60,59.00,54.38,23.19,15.73,53.02,25.49
600,70,26.15,43.48,18.54,12.42,41.85,20.38
600,80,26.23,41.60,17.41,12.04,39.82,19.50
600,90,28.77,39.14,16.38,11.32,37.47,18.35
600,100,20.85,36.80,15.40,10.65,34.99,17.25
600,125,9.65,29.30,12.26,8.48,28.04,13.73
600,150,15.23,45.35,18.98,12.95,43.41,21.26
600,200,42.04,41.60,17.74,12.04,40.30,19.50
600,250,87.71,45.47,19.39,13.15,43.76,21.31
600,300,127.12,50.39,21.09,14.58,48.23,23.62
600,400,247.34,96.56,41.95,27.94,95.88,45.26
650,60,87.58,58.59,24.99,16.95,57.14,27.47
650,70,35.47,39.73,16.79,11.35,38.13,18.62
650,80,22.12,34.69,14.52,9.91,33.20,16.26
650,90,24.73,32.93,13.91,9.45,31.40,15.31
650,100,20.21,30.59,12.80,8.85,28.89,14.34
